INDEXID;DATE;SECID;WAPRICE;WEIGHT
MICEXINDEXCF;2001-01-15;RTKM;28.841;0.033
MICEXINDEXCF;2001-01-15;SAGO;0.358;0
MICEXINDEXCF;2001-01-15;SBER;747.803;0.013
MICEXINDEXCF;2001-01-15;SIBN;8.4;0.013
MICEXINDEXCF;2001-01-15;TATN;11.771;0.058
MICEXINDEXCF;2001-01-15;YUKO;51.909;0.029
MICEXINDEXCF;2001-01-16;EESR;2.613;0.159
MICEXINDEXCF;2001-01-16;INUR;61.2;0.05
MICEXINDEXCF;2001-01-16;IRGZ;2.125;0.02
MICEXINDEXCF;2001-01-16;LKOH;312.871;0.517
MICEXINDEXCF;2001-01-16;MSNG;0.773;0.033
MICEXINDEXCF;2001-01-16;NKEL;238.93;0.074
MICEXINDEXCF;2001-01-16;RTKM;29.043;0.033
MICEXINDEXCF;2001-01-16;SAGO;0.358;0
MICEXINDEXCF;2001-01-16;SBER;756.669;0.013
MICEXINDEXCF;2001-01-16;SIBN;8.3;0.012
MICEXINDEXCF;2001-01-16;TATN;12.161;0.059
MICEXINDEXCF;2001-01-16;YUKO;52.746;0.029
MICEXINDEXCF;2001-01-17;EESR;2.678;0.159
MICEXINDEXCF;2001-01-17;INUR;63.444;0.051
MICEXINDEXCF;2001-01-17;IRGZ;2.165;0.02
MICEXINDEXCF;2001-01-17;LKOH;321.849;0.517
MICEXINDEXCF;2001-01-17;MSNG;0.798;0.033
MICEXINDEXCF;2001-01-17;NKEL;247.898;0.075
MICEXINDEXCF;2001-01-17;RTKM;29.658;0.033
MICEXINDEXCF;2001-01-17;SAGO;0.358;0
MICEXINDEXCF;2001-01-17;SBER;775.677;0.013
MICEXINDEXCF;2001-01-17;SIBN;8.302;0.012
MICEXINDEXCF;2001-01-17;TATN;12.554;0.059
MICEXINDEXCF;2001-01-17;YUKO;54.233;0.029
MICEXINDEXCF;2001-01-18;EESR;2.699;0.158
MICEXINDEXCF;2001-01-18;INUR;63.75;0.05
MICEXINDEXCF;2001-01-18;IRGZ;2.179;0.02
MICEXINDEXCF;2001-01-18;LKOH;324.257;0.515
MICEXINDEXCF;2001-01-18;MSNG;0.803;0.033
MICEXINDEXCF;2001-01-18;NKEL;260.535;0.078
MICEXINDEXCF;2001-01-18;RTKM;30.127;0.033
MICEXINDEXCF;2001-01-18;SAGO;0.358;0
MICEXINDEXCF;2001-01-18;SBER;779.511;0.013
MICEXINDEXCF;2001-01-18;SIBN;8.416;0.012
MICEXINDEXCF;2001-01-18;TATN;12.727;0.059
MICEXINDEXCF;2001-01-18;YUKO;54.731;0.029
MICEXINDEXCF;2001-01-19;EESR;2.809;0.161
MICEXINDEXCF;2001-01-19;INUR;64;0.05
MICEXINDEXCF;2001-01-19;IRGZ;2.32;0.021
MICEXINDEXCF;2001-01-19;LKOH;327.014;0.509
MICEXINDEXCF;2001-01-19;MSNG;0.842;0.034
MICEXINDEXCF;2001-01-19;NKEL;265.413;0.078
MICEXINDEXCF;2001-01-19;RTKM;31.318;0.034
MICEXINDEXCF;2001-01-19;SAGO;0.358;0
MICEXINDEXCF;2001-01-19;SBER;816.813;0.014
MICEXINDEXCF;2001-01-19;SIBN;8.547;0.012
MICEXINDEXCF;2001-01-19;TATN;12.965;0.059
MICEXINDEXCF;2001-01-19;YUKO;57.089;0.029
MICEXINDEXCF;2001-01-22;EESR;2.661;0.162
MICEXINDEXCF;2001-01-22;INUR;63;0.052
MICEXINDEXCF;2001-01-22;IRGZ;2.28;0.021
MICEXINDEXCF;2001-01-22;LKOH;303.818;0.501
MICEXINDEXCF;2001-01-22;MSNG;0.801;0.034
MICEXINDEXCF;2001-01-22;NKEL;256.623;0.08
MICEXINDEXCF;2001-01-22;RTKM;29.154;0.033
MICEXINDEXCF;2001-01-22;SAGO;0.358;0
MICEXINDEXCF;2001-01-22;SBER;778.823;0.014
MICEXINDEXCF;2001-01-22;SIBN;8.547;0.013
MICEXINDEXCF;2001-01-22;TATN;12.419;0.06
MICEXINDEXCF;2001-01-22;YUKO;57.04;0.031
MICEXINDEXCF;2001-01-23;EESR;2.671;0.16
MICEXINDEXCF;2001-01-23;INUR;62.5;0.05
MICEXINDEXCF;2001-01-23;IRGZ;2.122;0.02
MICEXINDEXCF;2001-01-23;LKOH;313.731;0.508
MICEXINDEXCF;2001-01-23;MSNG;0.818;0.034
MICEXINDEXCF;2001-01-23;NKEL;260.286;0.079
MICEXINDEXCF;2001-01-23;RTKM;28.568;0.032
MICEXINDEXCF;2001-01-23;SAGO;0.4;0
MICEXINDEXCF;2001-01-23;SBER;782.2;0.014
MICEXINDEXCF;2001-01-23;SIBN;8.477;0.012
MICEXINDEXCF;2001-01-23;TATN;12.69;0.06
MICEXINDEXCF;2001-01-23;YUKO;57.357;0.031
MICEXINDEXCF;2001-01-24;EESR;2.866;0.164
MICEXINDEXCF;2001-01-24;INUR;63;0.049
